Date,Open,Close,Low,High,Volume,,MACD,,
1924-09-30,104.95,103.16,101.07,104.95,0,,0.777783347,,
1924-10-31,104.08,104.06,99.18,104.08,0,,0.893585912,,
1924-11-30,103.89,111.1,103.89,111.1,0,,1.350155234,,
1924-12-31,110.44,120.51,110.44,120.51,0,,2.144547025,,
1925-01-31,121.25,123.49,119.46,123.6,0,,2.69380063,,
1925-02-28,120.46,122.24,117.96,122.86,0,,2.784525153,,
1925-03-31,123.93,116.75,115,125.68,0,,2.306163211,,
1925-04-30,118.07,120.01,117.4,121.54,0,,2.049333766,,
1925-05-31,121.1,129.95,121.1,129.95,0,,2.366451172,,
1925-06-30,129.69,131.01,126.75,131.01,0,,2.45458905,,
1925-07-31,131.76,133.81,131.33,136.5,0,,2.500034893,,
1925-08-31,135.81,141.18,135.71,143.18,0,,2.802288487,,
1925-09-30,139.78,143.46,137.22,147.16,0,,2.918440681,,
1925-10-31,144.77,155.65,144.77,155.65,0,,3.537640565,,
1925-11-30,157.88,151.08,148.18,159.39,0,,3.36203447,,
1925-12-31,152.11,156.66,152.11,157.01,0,,3.337551477,,
1926-01-31,158.75,157.35,153.2,158.93,0,,3.089397626,,
1926-02-28,156.83,154.68,154.68,162.31,0,,2.492591137,,
1926-03-31,150.9,140.46,135.2,153.13,0,,0.965766373,,
1926-04-30,140.35,143.71,136.27,144.55,0,,0.048756261,,
1926-05-31,140.53,143.43,137.16,143.43,0,,-0.663350136,,
1926-06-30,142.3,153.04,142.3,154.03,0,,-0.577028455,,
1926-07-31,153.01,160.18,153.01,160.58,0,,-0.151107114,,
1926-08-31,161.84,162.51,160.41,166.14,0,,0.158722656,,
1926-09-30,163.93,158.19,156.26,166.1,0,,-0.045202536,,
1926-10-31,159.69,150.76,145.66,159.69,0,,-0.758819198,,
1926-11-30,150.51,156.55,150.51,157.37,0,,-0.909092617,,
1926-12-31,157.31,157.2,156.65,160.75,0,,-1.02434661,,
1927-01-31,155.16,156.41,152.73,156.56,0,,-1.201172043,,
1927-02-28,156.26,161.96,154.31,161.96,0,,-0.999978077,,
1927-03-31,161.42,160.08,158.41,161.78,0,,-1.044281886,,
1927-04-30,160.71,164.64,160.71,167.36,0,,-0.826770581,,
1927-05-31,164.55,172.96,164.55,172.96,0,,-0.214722143,,
1927-06-30,171.98,166.23,165.73,171.98,0,,-0.347436509,,
1927-07-31,168.06,181.4,168.06,181.4,0,,0.458402049,,
1927-08-31,184.21,189.79,177.13,190.63,0,,1.376535458,,
1927-09-30,191.56,197.59,191.56,198.97,0,,2.276133208,,
1927-10-31,199.78,181.73,181.43,199.78,0,,1.601841072,,
1927-11-30,181.65,198.21,181.65,198.21,0,,2.036625083,,
1927-12-31,196.58,200.7,193.58,200.93,0,,2.246313442,,
1928-01-31,203.35,198.59,194.5,203.35,0,,2.005242942,,
1928-02-29,197.98,194.78,191.33,199.35,0,,1.381222452,,
1928-03-31,194.81,213.35,194.53,214.45,0,,1.974979743,,
1928-04-30,209.33,211.63,207.94,216.93,0,,2.001529041,,
1928-05-31,213.48,219.81,211.73,220.88,0,,2.29840458,,
1928-06-30,220.27,210.55,201.96,220.96,0,,1.630934079,,
1928-07-31,208.21,216,205.1,216.62,0,,1.329060674,,
1928-08-31,216.78,240.41,214.08,240.41,0,,2.479114857,,
1928-09-30,240.38,239.43,236.86,241.72,0,,2.852940495,,
1928-10-31,238.2,252.2,233.6,260.4,0,,3.59163501,,
1928-11-30,252.2,293.4,251.6,299.4,0,,6.326448801,,
1928-12-31,293.4,300,254.4,301.6,0,,7.9465176,,
1929-01-31,300.3,317.5,292.9,320,0,,9.460459966,,
1929-02-28,317.5,317.4,293.4,324.5,0,,9.683767793,,
1929-03-31,317.8,308.9,281.5,324.4,0,,8.528285089,,
1929-04-30,304.2,319.3,294.1,321.1,0,,7.755891663,,
1929-05-31,319.3,297.4,290,331,0,,5.185113528,,
1929-06-30,297.4,333.8,296.5,335.3,0,,5.330659013,,
1929-07-31,333.8,347.7,332.2,350.3,0,,5.723066698,,
1929-08-31,347.7,380.3,336.1,384,0,,7.429978456,,
1929-09-30,380.3,343.5,341,386.1,0,,5.425436472,,
1929-10-31,343.5,273.5,212.3,358.8,0,,-0.931403516,,
1929-11-30,269.8,239,195.4,269.8,0,,-7.415293598,,
1929-12-31,239,248.5,226.4,267.6,0,,-10.81404182,,
1930-01-31,248.5,267.1,241.8,268.7,0,,-11.49552677,,
1930-02-28,267.1,271.1,259.8,275,15931940,,-11.34369644,,
1930-03-31,271.1,286.1,268.9,289.1,23552934,,-9.94967054,,
1930-04-30,286.1,279.2,272.2,297.3,26980152,,-9.225067199,,
1930-05-31,279.2,275.1,249.8,282,19090377,,-8.758314599,,
1930-06-30,275.1,226.3,207.7,276.9,19557293,,-11.31033339,,
1930-07-31,226.3,234,214.6,243.7,11561056,,-11.98920202,,
